label:               N/A                                               
model:               eaDCA                                             
input MSA:           /home/mbettiati/LBE_MatteoBettiati/tests/Artificial_rybo_gen_jl/own_dca/data/input_test/indel/Twister_Ribozyme/Twister_Ribozyme.fasta
alphabet:            *-AUCG                                            
sampler:             gibbs                                             
nchains:             2720                                              
nsweeps:             10                                                
lr:                  0.05                                              
target Pearson Cij:  0.93                                              
gsteps:              10                                                
factivate:           0.001                                             

Epochs     Pearson    Slope      LL_train   LL_test    ESS        Entropy    Density    Time       Gaps_freq 
10         0.781      0.462      -52.172    0.000      0.695      54.918     0.638      8.127      0.037     
20         0.858      0.634      -47.214    0.000      0.578      53.999     0.873      15.728     0.033     
30         0.886      0.695      -45.152    0.000      0.536      51.533     0.923      23.320     0.033     
40         0.902      0.764      -43.458    0.000      0.528      49.018     0.967      30.913     0.030     
50         0.913      0.753      -42.433    0.000      0.525      47.689     0.977      38.509     0.028     
60         0.917      0.779      -41.693    0.000      0.509      46.225     0.985      46.101     0.028     
70         0.924      0.801      -41.162    0.000      0.470      45.353     0.990      53.706     0.028     
80         0.920      0.786      -40.717    0.000      0.460      45.151     0.998      61.296     0.029     
90         0.924      0.789      -40.399    0.000      0.450      44.360     1.006      68.892     0.029     
100        0.925      0.814      -40.110    0.000      0.439      43.661     1.015      76.480     0.029     
110        0.925      0.814      -39.880    0.000      0.434      43.197     1.015      84.075     0.030     
113        0.930      0.840      -39.815    0.000      0.437      43.401     1.016      86.370     0.031     
