label:               N/A                                               
model:               eaDCA                                             
input MSA:           /home/mbettiati/LBE_MatteoBettiati/tests/Artificial_rybo_gen_jl/own_dca/data/input_test/raw/Seed_Twister/Seed_Twister.fasta
alphabet:            rna                                               
sampler:             gibbs                                             
nchains:             2720                                              
nsweeps:             10                                                
lr:                  0.05                                              
target Pearson Cij:  0.94                                              
gsteps:              10                                                
factivate:           0.001                                             

Epochs     Pearson    Slope      LL_train   LL_test    ESS        Entropy    Density    Time       Gaps_freq 
10         0.151      0.055      -183.251   0.000      0.062      186.692    0.599      27.687     0.485     
20         0.183      0.083      -235.407   0.000      0.038      200.607    0.845      54.878     0.412     
30         0.188      0.091      -262.394   0.000      0.028      206.561    0.958      82.024     0.392     
40         0.193      0.096      -274.477   0.000      0.033      208.947    1.046      109.158    0.386     
50         0.197      0.100      -276.030   0.000      0.021      210.893    1.127      136.299    0.383     
60         0.201      0.104      -274.139   0.000      0.022      210.768    1.145      163.434    0.383     
70         0.200      0.104      -270.511   0.000      0.017      210.845    1.158      190.563    0.382     
80         0.203      0.107      -265.080   0.000      0.022      209.971    1.176      217.699    0.381     
90         0.203      0.108      -258.712   0.000      0.037      209.526    1.186      244.771    0.381     
100        0.206      0.110      -251.502   0.000      0.033      208.670    1.196      271.833    0.382     
110        0.206      0.110      -243.853   0.000      0.027      207.917    1.202      299.602    0.383     
120        0.208      0.111      -236.141   0.000      0.025      207.063    1.203      327.427    0.383     
130        0.209      0.112      -228.106   0.000      0.013      206.264    1.204      354.628    0.385     
140        0.211      0.115      -219.543   0.000      0.016      205.060    1.215      381.865    0.385     
150        0.224      0.123      -209.896   0.000      0.010      205.562    1.220      409.069    0.389     
160        0.229      0.109      -335.125   0.000      0.005      163.217    1.221      436.306    0.554     
170        0.262      0.130      -400.270   0.000      0.002      217.698    1.221      463.566    0.536     
180        0.260      0.127      -406.408   0.000      0.002      211.060    1.224      490.790    0.523     
190        0.261      0.131      -412.274   0.000      0.002      204.531    1.224      518.016    0.518     
200        0.271      0.139      -397.484   0.000      0.001      175.872    1.224      545.300    0.511     
210        0.264      0.137      -395.025   0.000      0.002      163.185    1.224      572.598    0.505     
220        0.269      0.142      -396.645   0.000      0.001      152.957    1.224      599.897    0.503     
230        0.275      0.153      -395.091   0.000      0.002      141.767    1.224      627.201    0.498     
240        0.269      0.148      -383.240   0.000      0.001      119.964    1.224      654.512    0.494     
250        0.275      0.157      -370.438   0.000      0.001      96.936     1.224      681.804    0.489     
260        0.274      0.155      -368.287   0.000      0.001      85.943     1.224      709.117    0.487     
270        0.276      0.156      -368.265   0.000      0.000      74.929     1.224      736.423    0.484     
280        0.283      0.170      -369.913   0.000      0.000      68.461     1.224      763.675    0.477     
290        0.288      0.180      -368.329   0.000      0.000      59.260     1.224      790.978    0.473     
300        0.291      0.190      -372.203   0.000      0.000      56.443     1.224      818.569    0.470     
310        0.289      0.177      -381.140   0.000      0.000      57.693     1.224      846.206    0.470     
320        0.288      0.177      -389.136   0.000      0.001      57.978     1.224      873.460    0.470     
330        0.288      0.178      -398.170   0.000      0.000      59.414     1.224      900.722    0.468     
340        0.289      0.179      -406.812   0.000      0.001      60.446     1.224      928.052    0.466     
350        0.289      0.180      -414.361   0.000      0.001      60.021     1.224      955.863    0.467     
360        0.287      0.172      -422.329   0.000      0.000      59.007     1.224      983.123    0.469     
370        0.286      0.169      -429.930   0.000      0.000      57.303     1.224      1010.383   0.470     
380        0.293      0.179      -438.321   0.000      0.001      55.670     1.224      1037.701   0.473     
390        0.294      0.176      -447.099   0.000      0.001      55.628     1.224      1065.018   0.475     
400        0.288      0.172      -456.831   0.000      0.001      55.967     1.224      1092.267   0.474     
410        0.292      0.177      -467.616   0.000      0.001      56.913     1.224      1119.523   0.473     
420        0.293      0.175      -477.229   0.000      0.001      57.539     1.224      1146.831   0.471     
430        0.292      0.176      -487.204   0.000      0.000      57.379     1.224      1174.129   0.471     
440        0.291      0.174      -496.669   0.000      0.001      57.169     1.224      1201.447   0.471     
450        0.288      0.169      -506.440   0.000      0.000      56.438     1.224      1228.754   0.471     
460        0.290      0.170      -516.632   0.000      0.000      56.430     1.224      1256.077   0.471     
470        0.290      0.168      -525.902   0.000      0.000      55.942     1.224      1283.335   0.472     
480        0.288      0.167      -535.010   0.000      0.000      55.366     1.224      1310.588   0.472     
490        0.289      0.163      -545.758   0.000      0.000      54.107     1.224      1337.814   0.472     
500        0.287      0.166      -555.078   0.000      0.000      55.288     1.224      1365.067   0.471     
510        0.284      0.165      -565.022   0.000      0.000      54.606     1.224      1392.315   0.472     
520        0.281      0.159      -575.955   0.000      0.000      54.874     1.224      1419.684   0.471     
530        0.287      0.164      -585.980   0.000      0.000      55.195     1.224      1447.043   0.472     
540        0.285      0.163      -596.873   0.000      0.000      56.080     1.224      1474.474   0.469     
550        0.287      0.166      -606.673   0.000      0.000      55.751     1.224      1503.126   0.469     
560        0.286      0.159      -617.653   0.000      0.000      56.551     1.224      1530.910   0.470     
570        0.287      0.166      -628.223   0.000      0.000      57.098     1.224      1558.282   0.470     
580        0.289      0.163      -638.376   0.000      0.000      56.854     1.224      1585.742   0.472     
590        0.290      0.163      -647.721   0.000      0.000      54.913     1.224      1613.132   0.471     
