label:               N/A                                               
model:               eaDCA                                             
input MSA:           /home/mbettiati/LBE_MatteoBettiati/tests/Artificial_rybo_gen_jl/own_dca/data/input_test/raw/pruned_Twister/pruned_Twister.fasta
alphabet:            rna                                               
sampler:             gibbs                                             
nchains:             1613                                              
nsweeps:             10                                                
lr:                  0.05                                              
target Pearson Cij:  0.8                                               
gsteps:              10                                                
factivate:           0.001                                             

Epochs     Pearson    Slope      LL_train   LL_test    ESS        Entropy    Density    Time       Gaps_freq 
10         0.501      0.188      -114.277   0.000      0.164      113.986    1.075      20.761     0.613     
20         0.618      0.363      -109.113   0.000      0.005      97.554     1.620      40.515     0.608     
30         0.645      0.406      -111.548   0.000      0.005      90.980     1.757      59.874     0.615     
40         0.660      0.435      -113.867   0.000      0.007      86.019     1.899      79.191     0.617     
50         0.678      0.462      -116.953   0.000      0.001      85.201     1.952      98.520     0.616     
60         0.693      0.486      -120.740   0.000      0.003      82.202     2.048      117.906    0.616     
70         0.704      0.499      -124.809   0.000      0.002      77.478     2.116      137.289    0.622     
80         0.709      0.515      -129.205   0.000      0.009      76.752     2.169      156.818    0.614     
90         0.718      0.490      -133.944   0.000      0.008      70.906     2.262      176.365    0.612     
100        0.725      0.530      -139.063   0.000      0.011      68.643     2.396      195.845    0.619     
110        0.734      0.560      -143.136   0.000      0.013      71.174     2.515      215.168    0.600     
120        0.739      0.565      -147.534   0.000      0.001      67.533     2.596      234.499    0.615     
130        0.732      0.486      -153.381   0.000      0.004      63.323     2.628      254.219    0.620     
140        0.745      0.541      -158.059   0.000      0.002      61.858     2.722      273.808    0.618     
150        0.750      0.539      -163.634   0.000      0.003      60.999     2.758      293.163    0.616     
160        0.754      0.566      -167.706   0.000      0.005      57.995     2.826      312.503    0.605     
170        0.746      0.533      -173.630   0.000      0.002      54.309     2.922      331.840    0.610     
180        0.762      0.604      -177.328   0.000      0.007      54.449     3.008      351.201    0.605     
190        0.769      0.626      -181.550   0.000      0.001      55.496     3.067      370.543    0.602     
200        0.762      0.564      -186.670   0.000      0.001      52.438     3.141      389.885    0.620     
210        0.772      0.584      -191.156   0.000      0.001      51.188     3.213      409.229    0.617     
220        0.774      0.588      -195.929   0.000      0.002      49.884     3.263      428.602    0.612     
230        0.782      0.616      -200.868   0.000      0.001      49.115     3.308      448.426    0.606     
240        0.774      0.645      -205.200   0.000      0.001      48.147     3.350      468.899    0.598     
250        0.764      0.626      -210.769   0.000      0.002      47.085     3.447      489.435    0.616     
260        0.780      0.588      -214.479   0.000      0.002      45.219     3.513      510.081    0.619     
270        0.780      0.579      -218.437   0.000      0.001      42.587     3.599      530.770    0.619     
280        0.772      0.590      -224.231   0.000      0.001      43.147     3.622      551.400    0.617     
290        0.792      0.656      -227.694   0.000      0.001      42.458     3.652      571.942    0.607     
295        0.800      0.645      -229.340   0.000      0.001      42.394     3.666      581.638    0.600     
