label:               N/A                                               
model:               eaDCA                                             
input MSA:           /home/mbettiati/LBE_MatteoBettiati/tests/Artificial_rybo_gen_jl/own_dca/data/input_test/raw/pruned_Twister/pruned_Twister.fasta
alphabet:            rna                                               
sampler:             gibbs                                             
nchains:             1613                                              
nsweeps:             10                                                
lr:                  0.05                                              
target Pearson Cij:  0.83                                              
gsteps:              10                                                
factivate:           0.001                                             

Epochs     Pearson    Slope      LL_train   LL_test    ESS        Entropy    Density    Time       Gaps_freq 
10         0.400      0.164      -138.295   0.000      0.163      178.642    0.907      19.707     0.489     
20         0.444      0.170      -126.776   0.000      0.007      128.272    1.196      38.876     0.588     
30         0.530      0.290      -119.463   0.000      0.005      114.664    1.559      58.022     0.579     
40         0.623      0.388      -109.689   0.000      0.004      107.296    2.084      77.158     0.587     
50         0.653      0.417      -110.255   0.000      0.001      112.652    2.713      96.312     0.578     
60         0.730      0.586      -94.906    0.000      0.001      102.116    3.329      115.456    0.574     
70         0.772      0.630      -78.434    0.000      0.001      90.967     3.805      134.611    0.564     
80         0.804      0.668      -69.399    0.000      0.001      86.182     4.182      153.777    0.558     
90         0.827      0.732      -60.413    0.000      0.001      82.433     4.391      172.954    0.545     
92         0.830      0.697      -59.189    0.000      0.001      80.597     4.430      176.261    0.555     
